"Freq [GHz]","dB(S(Port,Port)) []"
1.94625,-1.16041508917482
1.9475,-1.11928390067216
1.94875,-1.08027175528406
1.95,-1.04323995729007
1.95125,-1.00806062315412
1.9525,-0.97461571723086
1.95375,-0.942796183211501
1.955,-0.912501160930014
1.95625,-0.883637279362996
1.9575,-0.856118017717252
1.95875,-0.829863127428602
1.96,-0.804798108711518
1.96125,-0.780853736015841
1.9625,-0.757965627377401
1.96375,-0.736073853204653
1.965,-0.715122580532991
1.96625,-0.6950597492105
1.9675,-0.675836776860729
1.96875,-0.657408289805576
1.97,-0.639731877430588
1.97125,-0.622767867739806
1.9725,-0.606479122082306
1.97375,-0.590830847241594
1.975,-0.575790423264394
1.97625,-0.561327245570582
1.9775,-0.547412580033175
1.97875,-0.534019429848274
1.98,-0.521122413132145
1.98125,-0.508697650286799
1.9825,-0.496722660269248
1.98375,-0.485176264983043
1.985,-0.474038501085629
1.98625,-0.463290538572367
1.9875,-0.452914605558152
1.98875,-0.44289391873182
1.99,-0.433212619007153
1.99125,-0.423855711938152
1.9925,-0.414809012505526
1.99375,-0.406059093917004
1.995,-0.397593240096193
1.99625,-0.389399401563413
1.9975,-0.381466154438415
1.99875,-0.373782662318203
2,-0.366338640804912
2.00125,-0.359124324477811
2.0025,-0.352130436121265
2.00375,-0.34534815803633
2.005,-0.338769105278205
2.00625,-0.332385300674855
2.0075,-0.326189151494179
2.00875,-0.320173427637806
2.01,-0.314331241249838
2.01125,-0.308656027637486
2.0125,-0.303141527409119
2.01375,-0.297781769742667
2.015,-0.292571056704059
2.01625,-0.287503948541927
2.0175,-0.282575249890264
2.01875,-0.277779996816199
2.02,-0.27311344465473
2.02125,-0.268571056576801
2.0225,-0.264148492840985
2.02375,-0.259841600682904
2.025,-0.255646404799884
2.02625,-0.251559098391422
2.0275,-0.247576034718971
2.02875,-0.243693719151229
2.03,-0.239908801663509
2.03125,-0.236218069761998
2.0325,-0.232618441805891
2.03375,-0.229106960702185
2.035,-0.225680787949699
2.03625,-0.222337198010604
2.0375,-0.219073572989136
2.03875,-0.215887397598638
2.04,-0.21277625439934
2.04125,-0.209737819290438
2.0425,-0.206769857241164
2.04375,-0.203870218246639
2.045,-0.201036833495105
2.04625,-0.19826771173404
2.0475,-0.195560935823688
2.04875,-0.192914659466853
2.05,-0.190327104105035
2.05125,-0.187796555971208
2.0525,-0.185321363290346
2.05375,-0.182899933619416
2.055,-0.180530731318892
2.05625,-0.178212275148509
2.0575,-0.175943135980366
2.05875,-0.173721934622906
2.06,-0.171547339749653
2.06125,-0.169418065927105
2.0625,-0.167332871736342
2.06375,-0.165290557983366
2.065,-0.163289965993369
2.06625,-0.161329975984609
2.0675,-0.159409505517548
2.06875,-0.157527508015401
2.07,-0.155682971352404
2.07125,-0.153874916506199
2.0725,-0.152102396271125
2.07375,-0.150364494029276
2.075,-0.148660322576407
2.07625,-0.146989022999882
2.0775,-0.145349763606087
2.07875,-0.143741738894871
2.08,-0.142164168578593
2.08125,-0.140616296643651
2.0825,-0.139097390452409
2.08375,-0.137606739883542
2.085,-0.136143656508886
2.08625,-0.134707472805166
2.0875,-0.133297541398753
2.08875,-0.131913234342108
2.09,-0.13055394242015
2.09125,-0.129219074485363
2.0925,-0.127908056820183
2.09375,-0.126620332525427
2.095,-0.125355360933563
2.09625,-0.124112617045627
2.0975,-0.122891590990824
2.09875,-0.121691787507654
2.1,-0.120512725445672
2.10125,-0.119353937286875
2.1025,-0.11821496868596
2.10375,-0.117095378028482
2.105,-0.115994736006203
2.10625,-0.114912625208844
2.1075,-0.113848639731552
2.10875,-0.112802384797293
2.11,-0.111773476393727
2.11125,-0.110761540923716
2.1125,-0.109766214869029
2.11375,-0.108787144466622
2.115,-0.10782398539698
2.11625,-0.106876402483994
2.1175,-0.105944069405908
2.11875,-0.105026668416872
2.12,-0.104123890078597
2.12125,-0.103235433001845
2.1225,-0.102361003597154
2.12375,-0.101500315834597
2.125,-0.100653091012056
2.12625,-0.099819057531839
2.1275,-0.0989979506850715
2.12875,-0.098189512443812
