"Freq [GHz]","cang_rad(S(Port,Port)) [rad]"
2.165,-9.00597269009353
2.16625,-9.00921579259804
2.1675,-9.01245450629836
2.16875,-9.01568890022241
2.17,-9.01891904225521
2.17125,-9.02214499916364
2.1725,-9.02536683662054
2.17375,-9.02858461922832
2.175,-9.03179841054179
2.17625,-9.03500827309058
2.1775,-9.03821426840087
2.17875,-9.04141645701668
2.18,-9.04461489852054
2.18125,-9.04780965155367
2.1825,-9.05100077383574
2.18375,-9.05418832218397
2.185,-9.05737235253197
2.18625,-9.06055291994794
2.1875,-9.06373007865254
2.18875,-9.06690388203625
2.19,-9.07007438267638
2.19125,-9.07324163235363
2.1925,-9.07640568206824
2.19375,-9.07956658205577
2.195,-9.08272438180255
2.19625,-9.08587913006068
2.1975,-9.0890308748627
2.19875,-9.09217966353599
2.2,-9.09532554271672
2.20125,-9.09846855836357
2.2025,-9.10160875577103
2.20375,-9.10474617958252
2.205,-9.10788087380309
2.20625,-9.11101288181188
2.2075,-9.11414224637431
2.20875,-9.11726900965394
2.21,-9.12039321322414
2.21125,-9.1235148980794
2.2125,-9.12663410464644
2.21375,-9.12975087279511
2.215,-9.13286524184892
2.21625,-9.1359772505955
2.2175,-9.13908693729664
2.21875,-9.14219433969831
2.22,-9.14529949504031
2.22125,-9.14840244006573
2.2225,-9.15150321103029
2.22375,-9.15460184371134
2.225,-9.15769837341682
2.22625,-9.16079283499388
2.2275,-9.1638852628374
2.22875,-9.1669756908983
2.23,-9.17006415269172
2.23125,-9.17315068130491
2.2325,-9.17623530940505
2.23375,-9.17931806924692
2.235,-9.18239899268032
2.23625,-9.18547811115739
2.2375,-9.18855545573978
2.23875,-9.19163105710563
2.24,-9.19470494555646
2.24125,-9.19777715102388
2.2425,-9.20084770307617
2.24375,-9.20391663092469
2.245,-9.20698396343026
2.24625,-9.21004972910927
2.2475,-9.2131139561398
2.24875,-9.2161766723675
2.25,-9.21923790531143
